country_code,location,pollutant,source_name,unit,value,last_updated,country_label,latitude,longitude
IN,"rajbansi nagar, patna - bspcb",no2,caaqm,µg/m³,63.11,2022-10-16 21:15:00+05:30,india,25.599486,85.11366599999998
IN,"sector-51, gurugram - hspcb",o3,caaqm,µg/m³,36.33,2022-10-16 21:30:00+05:30,india,28.422699999999995,77.06669999999998
IN,"icrisat patancheru, hyderabad - tspcb",no2,caaqm,µg/m³,23.3,2022-10-31 07:15:00+05:30,india,17.5184,78.278777
IN,"palayam, kozhikode - kerala pcb",pm2.5,caaqm,µg/m³,50.0,2022-10-16 10:15:00+05:30,india,11.249077,75.78437099999998
IN,"ballygunge, kolkata - wbpcb",no2,caaqm,µg/m³,24.6,2022-10-16 21:30:00+05:30,india,22.5367507,88.3638022
IN,"royapuram, chennai - tnpcb",pm2.5,caaqm,µg/m³,2.0,2022-10-16 21:30:00+05:30,india,13.1036,80.29089999999998
IN,"kunjaban, agartala - tripura spcb",no2,caaqm,µg/m³,16.95,2022-10-16 21:30:00+05:30,india,23.8628276,91.2887362
IN,"bandra kurla complex, mumbai - iitm",co,caaqm,µg/m³,4230.0,2022-10-16 21:15:00+05:30,india,19.053536000000005,72.84643
IN,"bhosari, pune - iitm",pm2.5,caaqm,µg/m³,17.48,2022-07-07 10:15:00+05:30,india,18.640051,73.848956
IN,"chakala-andheri east, mumbai - iitm",co,caaqm,µg/m³,1000.0,2022-10-16 18:30:00+05:30,india,19.110739999999996,72.86084
IN,"khindipada-bhandup west, mumbai - iitm",pm10,caaqm,µg/m³,11.81,2022-09-22 11:00:00+05:30,india,19.1653323,72.922099
IN,"alandi, pune - iitm",no2,caaqm,µg/m³,11.72,2022-07-21 10:15:00+05:30,india,18.675076,73.892743
IN,"tamaka ind. area, kolar - kspcb",co,caaqm,µg/m³,4040.0,2021-10-22 16:15:00+05:30,india,13.1276288,78.1570122
IN,"b.katihalli, hassan - kspcb",so2,caaqm,µg/m³,14.57,2022-10-16 21:15:00+05:30,india,13.008556,76.12525800000002
IN,"jhunsi, prayagraj - uppcb",pm2.5,caaqm,µg/m³,107.67,2022-10-16 21:30:00+05:30,india,25.425602,81.917152
IN,"motilal nehru nit, prayagraj - uppcb",no2,caaqm,µg/m³,30.3,2022-10-31 07:30:00+05:30,india,25.494,81.863
IN,"manoharpur, agra - uppcb",so2,caaqm,µg/m³,18.63,2022-10-31 07:30:00+05:30,india,27.23711,78.01936
IN,"chandkheda, ahmedabad - iitm",no2,caaqm,µg/m³,4.84,2022-10-16 21:15:00+05:30,india,23.107969,72.57464800000001
IN,"shastripuram, agra - uppcb",so2,caaqm,µg/m³,17.35,2022-10-16 21:30:00+05:30,india,27.198620000000002,77.92066
IN,"kamalnath nagar, bettiah - bspcb",o3,caaqm,µg/m³,36.8,2022-10-16 21:15:00+05:30,india,26.80365,84.51954
IN,"gandak colony, motihari - bspcb",no2,caaqm,µg/m³,32.2,2022-10-16 21:15:00+05:30,india,26.630859999999995,84.90051
IN,"nagar nigam, prayagraj - uppcb",pm2.5,caaqm,µg/m³,135.04,2022-10-31 07:30:00+05:30,india,25.449199160000003,81.82735986
IN,"mangala, bilaspur - ntpc",no2,caaqm,µg/m³,9.22,2022-10-31 07:30:00+05:30,india,22.08815,82.13737
IN,"dm office_kachari chowk, bhagalpur - bspcb",so2,caaqm,µg/m³,12.3,2022-10-31 07:15:00+05:30,india,25.251013,86.98900100000002
IN,"dm office_kachari chowk, bhagalpur - bspcb",o3,caaqm,µg/m³,25.0,2022-10-31 07:15:00+05:30,india,25.251013,86.98900100000002
IN,"jigar colony, moradabad - uppcb",no2,caaqm,µg/m³,8.08,2022-10-31 07:30:00+05:30,india,28.856664,78.77263800000001
