country_code,location,pollutant,source_name,unit,value,last_updated,country_label,latitude,longitude,date,year,month,hour,weekday,is_weekend
IN,"kunjaban, agartala - tripura spcb",co,caaqm,µg/m³,1040.0,2022-10-16 21:30:00+05:30,india,23.8628276,91.2887362,2022-10-16,2022,10,21,Sunday,True
IN,"kunjaban, agartala - tripura spcb",o3,caaqm,µg/m³,0.57,2022-10-16 21:30:00+05:30,india,23.8628276,91.2887362,2022-10-16,2022,10,21,Sunday,True
IN,"bhosari, pune - iitm",no2,caaqm,µg/m³,23.11,2022-07-07 10:15:00+05:30,india,18.640051,73.848956,2022-07-07,2022,7,10,Thursday,False
IN,"revenue colony-shivajinagar, pune - iitm",pm10,caaqm,µg/m³,43.71,2022-07-07 12:45:00+05:30,india,18.530085,73.849598,2022-07-07,2022,7,12,Thursday,False
IN,"khindipada-bhandup west, mumbai - iitm",so2,caaqm,µg/m³,0.62,2022-09-22 11:00:00+05:30,india,19.1653323,72.922099,2022-09-22,2022,9,11,Thursday,False
IN,"diwator nagar, koppal - kspcb",pm10,caaqm,µg/m³,122.94,2022-10-16 20:15:00+05:30,india,15.34763,76.181767,2022-10-16,2022,10,20,Sunday,True
IN,"kandivali east, mumbai - mpcb",co,caaqm,µg/m³,270.0,2022-10-16 21:15:00+05:30,india,19.2058,72.8682,2022-10-16,2022,10,21,Sunday,True
IN,"pan bazaar, guwahati - pcba",so2,caaqm,µg/m³,26.36,2022-10-16 21:30:00+05:30,india,26.1875,91.744194,2022-10-16,2022,10,21,Sunday,True
IN,"naubad, bidar - kspcb",pm10,caaqm,µg/m³,5.0,2022-10-13 09:45:00+05:30,india,17.930306,77.482194,2022-10-13,2022,10,9,Thursday,False
IN,"jawahar nagar, puducherry - ppcc",pm10,caaqm,µg/m³,15.0,2022-10-16 21:30:00+05:30,india,11.9309,79.8027,2022-10-16,2022,10,21,Sunday,True
IN,"brahmagiri, udupi - kspcb",pm10,caaqm,µg/m³,24.0,2022-10-16 06:30:00+05:30,india,13.34194444,74.74694444,2022-10-16,2022,10,6,Sunday,True
IN,"naharlagun, naharlagun - apspcb",co,caaqm,µg/m³,220.0,2022-10-15 08:15:00+05:30,india,27.103358000000004,93.679645,2022-10-15,2022,10,8,Saturday,True
IN,"sector-3b avas vikas colony, agra - uppcb",so2,caaqm,µg/m³,18.18,2022-10-16 21:30:00+05:30,india,27.19412,77.96237,2022-10-16,2022,10,21,Sunday,True
IN,"sardar vallabhbhai patel stadium, ahmedabad - iitm",no2,caaqm,µg/m³,71.33,2022-07-08 12:30:00+05:30,india,23.04307,72.562968,2022-07-08,2022,7,12,Friday,False
IN,"mit-daudpur kothi, muzaffarpur - bspcb",pm2.5,caaqm,µg/m³,113.0,2022-10-16 21:15:00+05:30,india,26.1403345,85.3650192,2022-10-16,2022,10,21,Sunday,True
IN,"mit-daudpur kothi, muzaffarpur - bspcb",co,caaqm,µg/m³,370.0,2022-10-16 21:15:00+05:30,india,26.1403345,85.3650192,2022-10-16,2022,10,21,Sunday,True
IN,"sector 22, chandigarh - cpcc",o3,caaqm,µg/m³,14.4,2022-10-31 07:15:00+05:30,india,30.735567,76.775714,2022-10-31,2022,10,7,Monday,False
